Packet,Number,Value,Answerline,Source,Answerline_Type,Source_Type,Source_Year,Creator,Author,Difficulty,Continent,Location,Language,Art/Pop,Genre,Decade,Notes
2,3,10,,A Nightmare on Elm Street,,,,,,,,,,,,,
2,3,10,,A Nightmare on Elm Street,,,,,,,,,,,,,
2,3,10,,The Hills Have Eyes,,,,,,,,,,,,,
2,3,10,,A Nightmare on Elm Street,,,,,,,,,,,,,
2,4,20,Nichols [or Mike Nichols; or Jeff Nichols],Mud,Surname,,,,AP,3.5,North America,USA,English,Art,Mixed,Mixed,
2,4,15,,Mud,,,,,,,,,,,,,
2,4,15,,Mud,,,,,,,,,,,,,
2,4,15,,Take Shelter,,,,,,,,,,,,,
2,4,10,,Mud,,,,,,,,,,,,,
2,4,10,,The Graduate,,,,,,,,,,,,,
2,4,10,,The Graduate,,,,,,,,,,,,,
2,4,10,,The Graduate,,,,,,,,,,,,,
2,5,20,Apu [accept Apu Trilogy],Pather Panchali,Character,,1955,,AP,3.5,Asia,India,Bengali,Art,Drama,1950s,
2,5,15,,Pather Panchali,,,1955,,,,,,,,,,
2,5,15,,Pather Panchali,,,1955,,,,,,,,,,
2,5,15,,Aparajito,,,,,,,,,,,,,
2,5,10,,Pather Panchali,,,1955,,,,,,,,,,
2,5,10,,Pather Panchali,,,1955,,,,,,,,,,
2,5,10,,Pather Panchali,,,1955,,,,,,,,,,
2,5,10,,Pather Panchali,,,1955,,,,,,,,,,
2,6,20,David Fincher [or David Andrew Leo Fincher],"""Bad Girl""",Director,Music Video,,,AP,2.5,North America,USA,English,Pop,Musical,1990s,
2,6,15,,"""Bad Girl""",,Music Video,,,,,,,,,,,
2,6,15,,"""Express Yourself""",,Music Video,,,,,,,,,,,
2,6,15,,"""Express Yourself""",,Music Video,,,,,,,,,,,
2,6,10,,"""Express Yourself""",,Music Video,,,,,,,,,,,
2,6,10,,"""Vogue""",,Music Video,,,,,,,,,,,
2,6,10,,"""Vogue""",,Music Video,,,,,,,,,,,
2,6,10,,"""Vogue""",,Music Video,,,,,,,,,,,
2,7,20,Faust [or Faust – A German Folktale; or Faust – Eine deutsche Volkssage; or Lekce Faust; or Lesson Faust; accept Mephisto; accept Mephistopheles],Faust,Misc,,1926,,AP,3.5,Mixed,Mixed,Mixed,Art,Mixed,Mixed,
2,7,20,,Faust,,,1926,,,,,,,,,,
2,7,15,,Lekce Faust,,,1994,,,,,,,,,,
2,7,15,,Lekce Faust,,,1994,,,,,,,,,,
2,7,15,,Mephisto,,,1981,,,,,,,,,,
